1, 0.001000, 1763548282
2, 0.002000, 1763548282
3, 0.003000, 1763548282
4, 0.003000, 1763548282
1, 0.001000, 1763548363
2, 0.002000, 1763548363
3, 0.003000, 1763548363
4, 0.003000, 1763548363
1, 0.001000, 1763548389
2, 0.002000, 1763548389
3, 0.003000, 1763548389
4, 0.003000, 1763548389
1, 0.001000, 1763548616
2, 0.002000, 1763548616
3, 0.003000, 1763548616
4, 0.003000, 1763548616
1, 0.001000, 1763550443
2, 0.002000, 1763550443
3, 0.003000, 1763550443
4, 0.003000, 1763550443
1, 0.001000, 1763550464
2, 0.002000, 1763550464
3, 0.003000, 1763550464
4, 0.003000, 1763550464
1, 0.001000, 1763552686
2, 0.002000, 1763552686
3, 0.003000, 1763552686
4, 0.003000, 1763552686
1, 0.001000, 1763552777
2, 0.002000, 1763552777
3, 0.003000, 1763552777
4, 0.003000, 1763552777
1, 0.001000, 1763553032
2, 0.002000, 1763553032
3, 0.003000, 1763553032
1, 0.001000, 1763553035
2, 0.002000, 1763553035
3, 0.003000, 1763553035
4, 0.003000, 1763553032
4, 0.003000, 1763553035
1, 0.001000, 1763553084
2, 0.002000, 1763553084
3, 0.003000, 1763553084
4, 0.003000, 1763553084
